X,Y,OBJECTID,ABBREVIATI,NAME,CITY,ACCESSIBLE,SHELTER,COMMENTS,DIR,POS,LON,LAT,NUMBER,STATUS
671872.8332,4863623.8871,1497,722,Adelaide Eastbound @ Division,,1,0, , , ,-78.859662,43.9056811,722,Future service
672457.7453,4863864.5639,1498,724,Adelaide Eastbound @ Central Park,,1,0, , , ,-78.852306,43.90771,724,Future service
672733.6445,4863992.5591,1499,725,Adelaide Eastbound @ Juliana,,1,0, , , ,-78.848831,43.908797,725,Future service
672988.2611,4864088.9651,1500,726,Adelaide Eastbound @ Dover,,1,0, , , ,-78.845631,43.9096046,726,Future service
673371.9706,4864287.7614,1501,727,Adelaide Eastbound @ Aspen Court,,1,0, , , ,-78.840791,43.9113031,727,Future service
673689.834,4864444.341,1502,728,Adelaide Eastbound @ Harmony,,1,0, , , ,-78.836784,43.912637,728,Future service
673920.1668,4864531.1766,1503,729,Adelaide Eastbound @ Blackthorn,,1,0, , , ,-78.833889,43.913364,729,Future service
666921.914,4858462.2616,1504,73,South Blair Northbound @ Watson,,1,0, , , ,-78.922891,43.860376,73,On Demand
674102.7045,4864580.6484,1505,730,Adelaide Eastbound @ Killdeer,,1,0, , , ,-78.831601,43.913766,730,Future service
674293.5333,4864601.9421,1506,731,Adelaide Eastbound @ Blue Heron,,1,0, , , ,-78.829219,43.9139124,731,Future service
674544.8704,4864629.0644,1507,732,Adelaide Eastbound @ Fleetwood,,1,0, , , ,-78.826082,43.914097,732,Future service
674559.9291,4864850.5309,1508,733,Fleetwood Northbound @ Corsica,,1,0, , , ,-78.825822,43.916086,733,On Demand
674490.7705,4865216.7544,1509,734,Fleetwood Northbound @ Langford,,1,0, , , ,-78.826562,43.9193973,734,On Demand
674706.3995,4865295.5299,1510,735,Margate Eastbound @ Faywood,,1,0, , , ,-78.823853,43.920055,735,On Demand
674980.1441,4865471.0162,1511,736,Margate Eastbound @ Townline,,1,0, , , ,-78.820388,43.9215689,736,On Demand
674951.5594,4865467.3829,1512,737,Margate Westbound @ Aldershot,,1,0, , , ,-78.820745,43.921543,737,Future service
674772.0409,4865368.5054,1513,738,Margate Westbound @ Autumnwood,,1,0, , , ,-78.823012,43.920696,738,Future service
